K,ACCURACY SCORE,F1 SCORE,ROC CURVE SCORE
1,0.827133479,0.73220339,0.792642776
2,0.796498906,0.664259928,0.745684015
3,0.800875274,0.671480144,0.750506521
4,0.807439825,0.685714286,0.759940484
5,0.79868709,0.666666667,0.747361867
6,0.811816193,0.692857143,0.76476299
7,0.807439825,0.687943262,0.761407285
8,0.818380744,0.70877193,0.775663754
9,0.820568928,0.715277778,0.78027521
10,0.820568928,0.721088435,0.784675615
11,0.831509847,0.738983051,0.797465282
12,0.818380744,0.716723549,0.781530961
13,0.803063457,0.689655172,0.762451986
14,0.81619256,0.710344828,0.776919505
15,0.800875274,0.685121107,0.759307332
16,0.800875274,0.685121107,0.759307332
17,0.807439825,0.698630137,0.768741294
18,0.827133479,0.728522337,0.789709172
19,0.827133479,0.734006734,0.794109577
20,0.818380744,0.722408027,0.785931366
21,0.814004376,0.715719064,0.78110886
22,0.818380744,0.722408027,0.785931366
23,0.829321663,0.743421053,0.801654637
24,0.831509847,0.749185668,0.806266093
25,0.822757112,0.732673267,0.793687476
26,0.829321663,0.748387097,0.806055042
27,0.84463895,0.776025237,0.828067621
28,0.829321663,0.745098039,0.803121439
29,0.840262582,0.765273312,0.818844709
30,0.833698031,0.753246753,0.809410747
MAX VALUES ->,0.84463895,0.776025237,0.828067621
